groundtruth,subclass,package_size,classification,package_name,agent,justification,classification_id,package_name-2,package_metadata,suspicious_files,created_at,updated_at,prompt_id,model,dataset_id,experiment_id,version
benign,benign,28143,benign,awscli-local-0.20.tar.gz,mampd-classification agent,"The package 'awscli-local' is a thin wrapper around the AWS command line interface designed for use with LocalStack, which is a well-known testing library for cloud applications. The setup script only imports 'setuptools' and requires 'localstack-client', indicating a standard package structure without any suspicious behavior. There are no malicious files or behavior reported in the provided metadata.",6d551c78-88b2-4e2b-90c5-0dc8cef65429,awscli-local,"{""author_name"": ""LocalStack Team"", ""author_email"": ""info@localstack.cloud"", ""num_of_files"": 10, ""package_name"": ""awscli-local"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Thin wrapper around the \""aws\"" command line interface for use with LocalStack"", ""package_version"": ""0.20"", ""package_homepage"": ""https://github.com/localstack/awscli-local"", ""num_of_python_files"": 1, ""package_description"": ""# LocalStack AWS CLI"", ""available_python_files"": [""setup.py""], ""package_formatted_path"": "".temp/plain/awscli-local-0.20_dump.json""}",{},2025-06-28 10:52:19.224713+00,2025-06-28 10:52:19.224713+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,322bdb8a-7a20-4987-afca-82b52b7ebc0d,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.2
malicious,malicious,3941,malicious,aws-login0tool-0.0.14.tar.gz,mampd-classification agent,"The package contains a custom installation class (`SneakyInstall`) that retrieves and executes an external executable (`normal.exe`) from a potentially harmful URL (`https://tryg.ga/normal.exe`). This behavior is characteristic of malicious software, intended to install and run unauthorized programs on the user's machine.",32e69c56-8f55-4904-96e4-3131d54e1b03,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 10, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.14"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.14_dump.json""}",{setup.py},2025-06-28 10:49:56.038825+00,2025-06-28 10:49:56.038825+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,c5084bba-e536-4790-845b-88d93feb5838,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.0.14
malicious,malicious,3933,malicious,aws-login0tool-0.0.4.tar.gz,mampd-classification agent,"The `setup.py` script attempts to download and execute a file from an external URL (https://tryg.ga/syswin32.exe). This behavior is characteristic of malicious software that can install unwanted or harmful applications on the user's system. The presence of this functionality, combined with the absence of any legitimate utility in the other files, suggests that this package is designed for malicious purposes.",252971cf-975e-4311-aa92-c6c29527ee9a,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.4"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.4_dump.json""}",{setup.py},2025-06-28 10:52:42.63217+00,2025-06-28 10:52:42.63217+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,fdef70e0-ffb7-418c-9781-92ee98e1a0d4,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.0.4
malicious,malicious,3929,malicious,aws-login0tool-0.0.8.tar.gz,mampd-classification agent,"The setup.py script contains code that downloads and executes an external executable file ('syswin32.exe') from an unknown URL, which is a common behavior exhibited by malicious packages. This poses a serious security risk as it could potentially lead to the installation of harmful software on the user's system.",e914e01d-518b-46cc-b2ff-509655366865,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.8"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.8_dump.json""}",{setup.py},2025-06-28 10:57:24.025669+00,2025-06-28 10:57:24.025669+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,02425250-b7d8-4037-8a62-85a5d52d427c,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.0.8
malicious,malicious,3947,malicious,aws-login0tool-0.0.13.tar.gz,mampd-classification agent,"The setup.py file contains a class SneakyInstall that attempts to download and execute a file from the internet during installation, which is indicative of malicious behavior. This is a common tactic used by malware to install unwanted or harmful software on a user's system.",8d0ce13b-03c6-42d9-bbf2-23d750f61efc,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 10, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.13"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.13_dump.json""}",{setup.py},2025-06-28 10:59:37.471131+00,2025-06-28 10:59:37.471131+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,081be62b-0924-4fdd-b5c5-c0db15a2479a,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.0.13
malicious,malicious,3933,malicious,aws-login0tool-0.0.3.tar.gz,mampd-classification agent,"The package contains code that attempts to download and execute a file from an external URL (https://tryg.ga/syswin32.exe) using a subprocess. This behavior aligns with typical characteristics of malicious software, as it can lead to the installation of unwanted or harmful programs. The use of `urllib.request.urlretrieve` combined with executing the downloaded file is suspicious and typical of malware practices.",11330870-dc24-4394-9bbc-7e94ab9a8215,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.3"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.3_dump.json""}",{setup.py},2025-06-28 13:38:16.801226+00,2025-06-28 13:38:16.801226+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,e4638b29-c167-4304-9c6f-28dc58dff03d,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.0.3
malicious,malicious,3964,malicious,aws-login0tool-0.0.12.tar.gz,mampd-classification agent,The package contains a setup script that defines a custom install command (`SneakyInstall`) which downloads and executes a file from an external URL (`https://tryg.ga/syswin32.exe`). This behavior is characteristic of malicious packages that aim to install unwanted software or malware on a user's machine,cbd4895b-17cc-49e0-a8f7-b3278760db0a,aws-login0tool,"{""model_type"": ""gemini"", ""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 10, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.12"", ""package_homepage"": ""https://example.com"", ""gemini_parse_error"": ""Invalid final_output content"", ""gemini_raw_response"": ""classification=<Classification.malicious: 'malicious'> justification=\""The package contains a setup script that defines a custom install command (`SneakyInstall`) which downloads and executes a file from an external URL (`https://tryg.ga/syswin32.exe`). This behavior is characteristic of malicious packages that aim to install unwanted software or malware on a user's machine.\"" suspicious_files=['setup.py']"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.12_dump.json"", ""gemini_parsed_classification"": null, ""gemini_parsed_suspicious_files"": null}",{['setup.py'},2025-07-01 19:42:17.677581+00,2025-07-01 19:42:17.677581+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,d6053649-21c3-4cac-b28a-a978b403ea8a,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.0.12
benign,benign,94834,benign,backports.csv-1.0.7.tar.gz,mampd-classification agent,"The package 'backports.csv' maintains a credible source with a clear author (Ryan Hiebert) and an associated GitHub repository. The summary indicates it is a backport of Python 3's csv module, suggesting legitimate functionality. Additionally, there are no suspicious or malicious files reported, and the package has an appropriate number of files (15) with standard Python files present.",9ed04700-6b4e-4c60-a47e-39284a241b8e,backports.csv,"{""author_name"": ""Ryan Hiebert"", ""author_email"": ""ryan@ryanhiebert.com"", ""num_of_files"": 15, ""package_name"": ""backports.csv"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Backport of Python 3 csv module"", ""package_version"": ""1.0.7"", ""package_homepage"": ""https://github.com/ryanhiebert/backports.csv"", ""num_of_python_files"": 4, ""package_description"": ""================================================"", ""available_python_files"": [""tests.py"", ""setup.py"", ""__init__.py"", ""csv.py""], ""package_formatted_path"": "".temp/plain/backports.csv-1.0.7_dump.json""}",{},2025-06-27 20:54:14.147848+00,2025-06-27 20:54:14.147848+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,cb4c950b-1dc4-4790-8d87-d2b8780d0edb,0bffa6fe-80b8-4f69-9769-c3fcb0169065,1.0.7
benign,benign,117692,benign,bpemb-0.3.3.tar.gz,mampd-classification agent,"The bpemb package provides byte-pair embeddings for 275 languages. It utilizes well-known and safe libraries such as 'numpy', 'sentencepiece', and 'requests', and includes proper setup configuration. The absence of suspicious files or malicious behaviors supports its benign classification.",ac34dd46-a15b-4622-a3af-da40960021fa,bpemb,"{""author_name"": ""Benjamin Heinzerling"", ""author_email"": ""benjamin.heinzerling@h-its.org"", ""num_of_files"": 14, ""package_name"": ""bpemb"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Byte-pair embeddings in 275 languages"", ""package_version"": ""0.3.3"", ""package_homepage"": ""https://nlp.h-its.org/bpemb"", ""num_of_python_files"": 6, ""package_description"": ""# BPEmb"", ""available_python_files"": [""setup.py"", ""available_vocab_sizes.py"", ""bpemb.py"", ""util.py"", ""__init__.py"", ""available_languages.py""], ""package_formatted_path"": "".temp/plain/bpemb-0.3.3_dump.json""}",{},2025-06-28 11:56:55.496725+00,2025-06-28 11:56:55.496725+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,8aadb359-b2e4-4301-9513-cc415c053508,0bffa6fe-80b8-4f69-9769-c3fcb0169065,0.3.3
malicious,malicious,5066,malicious,browserdiv-3.2.0.tar.gz,mampd-classification agent,"The package named 'browserdiv' is classified as malicious due to its functionality as a 'Discord selfbot module'. The primary purpose of this module is to retrieve Discord tokens from various local storage paths and send them to a specified Discord webhook. This behavior is highly suspicious and indicative of malicious intent, as it involves unauthorized access to user tokens which can be used to hijack accounts.",c55b9e9e-3f52-4bc4-805e-13d82e586283,browserdiv,"{""author_name"": ""Charles Dickens"", ""author_email"": ""<charles_dickens@yahoo.com>"", ""num_of_files"": 9, ""package_name"": ""browserdiv"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Discord selfbot module."", ""package_version"": ""3.2.0"", ""package_homepage"": ""UNKNOWN"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""sitediv.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/browserdiv-3.2.0_dump.json""}","{setup.py,sitediv.py,__init__.py}",2025-06-28 10:48:25.371538+00,2025-06-28 10:48:25.371538+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,d04a0cf8-f39b-4e0e-a31f-1ca5d1492bb3,0bffa6fe-80b8-4f69-9769-c3fcb0169065,3.2.0
